KIC;P;E_P;e_P;e
10001145; 112.950;   0.420;  0.420; 0.1600
10029999; 185.950;   0.490;  0.490; 0.2710
10031634; 481.400;   3.300;  3.500; 0.8900
10056297; 619.900;   1.500;  1.600; 0.0330
10056931; 927.800;   3.300;  3.500; 0.1370
10154094; 893.100;   5.300;  5.500; 0.1420
10206643; 413.000;   2.600;  2.400; 0.3880
10224920;1050.000;  14.000; 14.000; 0.8140
10273384;2070.000; 220.000;220.000; 0.0430
10416779;1286.000;  71.000; 34.000; 0.6810
10451090; 981.400;   7.900;  7.400; 0.1840
10468883;1590.000;  25.000; 12.000; 0.7380
10532771; 584.900;   1.100;  1.100; 0.0078
10538299;  81.948;   0.029;  0.030; 0.2180
10549422;3307.000; 180.000;180.000; 0.5160
10679429; 679.700;   2.200;  2.300; 0.1340
10717871; 175.270;   0.370;  0.370; 0.2620
10727717; 955.500;   7.200;  7.200; 0.1640
10753246;2096.000; 750.000;430.000; 0.6200
10802820;1184.000;  59.000; 43.000; 0.2470
10855535; 411.920;   0.380;  0.370; 0.0930
10862354; 469.700;   1.600;  1.600; 0.1930
10936474; 152.300;   0.580;  0.600; 0.5300
10990452; 122.100;   0.100;  0.100; 0.5900
11044384;1764.000; 110.000;190.000; 0.3330
11285767; 724.100;   1.500;  1.500; 0.2810
11294931;1472.000;  26.000; 24.000; 0.1790
11295729;1188.000;  23.000; 20.000; 0.3090
11415556; 145.000;   0.300;  0.300; 0.5750
11495305; 855.600;   3.700;  3.300; 0.0210
11508397; 722.000;  18.000; 18.000; 0.3800
11509728; 199.090;   0.710;  0.720; 0.0800
11569628; 684.400;   4.800;  4.400; 0.0370
11661993; 577.100;   8.500;  7.900; 0.2640
11754974; 343.200;   0.500;  0.500; 0.0190
11771670; 559.100;   1.400;  1.400; 0.1030
11858293; 505.780;   0.630;  0.640; 0.0290
11874676;1612.000;  62.000; 42.000; 0.7750
11905761; 225.420;   0.380;  0.380; 0.7290
12020590; 432.400;   0.710;  0.710; 0.5280
12055345;1333.000;  41.000; 41.000; 0.1210
12069252;1499.000; 110.000; 99.000; 0.3920
12120077;1639.000;  38.000; 36.000; 0.1050
12122075; 271.200;   2.100;  2.100; 0.1580
12217281; 726.000;  13.000; 12.000; 0.2400
12365420; 330.520;   0.790;  0.780; 0.2170
12470709;1453.000;  23.000; 23.000; 0.2690
12602250; 586.080;   0.550;  0.550; 0.4160
 1294670; 410.070;   0.520;  0.540; 0.4000
 1724961;  74.339;   0.043;  0.042; 0.1800
 2168333; 349.750;   0.450;  0.450; 0.7100
 2283124;1529.000; 130.000; 85.000; 0.0450
 2570760;1549.000;  47.000; 47.000; 0.4280
 2579147;1576.000;  55.000; 42.000; 0.0037
 2714707; 540.300;   2.300;  2.400; 0.1040
 2974815;1068.600;   6.400;  6.400; 0.1420
 2988145; 793.000;   1.400;  1.500; 0.3150
 2994888;1120.000;  13.000; 11.000; 0.1600
 3223460;1040.000;  21.000; 16.000; 0.1760
 3346195; 400.260;   0.600;  0.590; 0.6540
 3426991;1075.900;   4.800;  4.700; 0.2730
 3542566; 909.700;   1.800;  1.800; 0.1935
 3546765; 539.200;   1.300;  1.300; 0.0170
 3641023; 358.900;   1.200;  1.200; 0.0450
 3650057; 810.700;   2.100;  2.200; 0.0900
 3655115; 300.760;   0.490;  0.470; 0.4570
 3655513; 274.600;   0.740;  0.750; 0.5280
 3749833;1051.400;   4.800;  4.900; 0.1470
 3757814;2041.000; 280.000;180.000; 0.1650
 3760002; 458.100;   1.100;  1.100; 0.7710
 3762741;1220.000;  75.000; 53.000; 0.2530
 3763579;1739.000; 190.000;220.000; 0.0910
 3833853; 446.800;   1.400;  1.500; 0.0250
 3849354; 109.563;   0.097;  0.096; 0.1890
 3851151;2173.000; 940.000;480.000; 0.5700
 3969800; 728.000;  13.000; 13.000; 0.1120
 3975085; 921.300;   3.300;  3.200; 0.1748
 4077275; 461.100;   9.700;  9.500; 0.2900
 4078743;1571.000;  67.000; 51.000; 0.3910
 4141155; 261.160;   0.270;  0.270; 0.2590
 4168574;1533.000;  83.000; 53.000; 0.1950
 4170631; 175.280;   0.720;  0.710; 0.6200
 4171102; 872.000;  25.000; 26.000; 0.4000
 4180199;2326.000;1600.000;430.000; 0.8270
 4243461; 481.400;   1.800;  1.800; 0.0290
 4243984; 553.800;   1.100;  1.100; 0.3890
 4253860; 154.957;   0.091;  0.092; 0.9470
 4269337; 675.200;   1.000;  1.000; 0.4200
 4277242; 352.100;   5.100;  5.400; 0.2400
 4283747;1096.000;  14.000; 13.000; 0.4770
 4372410;1093.000;  28.000; 26.000; 0.6000
 4380834; 442.800;   1.300;  1.300; 0.4360
 4381221; 180.710;   0.140;  0.130; 0.3140
 4386091; 456.000;  50.000; 36.000; 0.6000
 4456107; 335.720;   0.480;  0.490; 0.2550
 4476836; 776.600;   2.500;  2.400; 0.0990
 4574142; 230.380;   0.640;  0.650; 0.1450
 4575908;2439.000;  86.000;220.000; 0.0940
 4587528; 739.600;   8.300;  8.100; 0.4860
 4647763;2104.000; 110.000;120.000; 0.4120
 4862968;  38.672;   0.091;  0.093; 0.4800
 4902475; 977.800;   1.900;  2.000; 0.1660
 4937435;1413.600;  11.000;  9.000; 0.5880
 4950985; 824.000;  14.000; 13.000; 0.2260
 5022451; 230.740;   0.780;  0.760; 0.0380
 5176531; 847.300;   3.500;  3.600; 0.1220
 5196851;1151.000;  13.000; 11.000; 0.1530
 5212962; 517.320;   0.850;  0.850; 0.3220
 5219533;1571.000;  15.000; 13.000; 0.5767
 5253740; 684.000;   4.000;  3.800; 0.7200
 5271224;  40.519;   0.048;  0.047; 0.5200
 5272673;1219.000;  11.000; 10.000; 0.1140
 5295234;1657.000; 250.000;270.000; 0.4300
 5302006; 734.000;   4.600;  4.400; 0.3260
 5304634;2101.000;  73.000; 60.000; 0.1100
 5355850;1117.100;   3.200;  2.900; 0.3843
 5358323; 311.180;   0.510;  0.520; 0.0390
 5370646; 374.210;   0.860;  0.870; 0.2320
 5376614;2069.000; 430.000;340.000; 0.1260
 5385469;2496.000; 350.000;130.000; 0.7260
 5394574; 336.790;   0.360;  0.360; 0.4610
 5459805;1408.000;  64.000; 59.000; 0.2150
 5475668; 138.048;   0.055;  0.055; 0.5920
 5542211; 728.700;   4.600;  4.400; 0.1960
 5545566; 177.090;   0.690;  0.660; 0.5100
 5641605;1185.000;  16.000; 13.000; 0.5730
 5647514;1114.000;   9.000;  8.900; 0.3550
 5705575; 537.660;   0.910;  0.890; 0.0156
 5709664;  95.030;   0.044;  0.043; 0.5100
 5723310;1268.600;   9.500;  9.300; 0.1560
 5725312; 704.800;   4.500;  4.500; 0.0460
 5728217; 224.770;   0.470;  0.460; 0.1500
 5733154;  62.550;   0.130;  0.130; 0.8200
 5734003;1228.000; 190.000; 97.000; 0.4600
 5737687;1068.000;  16.000; 18.000; 0.5120
 5738127; 442.600;   2.600;  2.600; 0.0980
 5768203; 183.740;   0.110;  0.110; 0.6270
 5791786; 119.300;   0.200;  0.200; 0.4230
 5808231;1081.000;  12.000; 11.000; 0.0510
 5811454;1210.000;  65.000; 33.000; 0.8230
 5819178; 237.630;   0.510;  0.520; 0.0600
 5857714;  79.230;   0.170;  0.170; 0.1320
 5857714;1008.600;   7.200;  6.900; 0.1400
 5879187;2785.000; 200.000;310.000; 0.0810
 5880352; 176.970;   0.280;  0.290; 0.0360
 5891975; 901.000;  19.000; 17.000; 0.1440
 5892660;1565.000;  72.000; 55.000; 0.3360
 5900260; 159.800;   0.180;  0.170; 0.3900
 5964173;1234.000;  33.000; 27.000; 0.1140
 5988140;4297.000; 200.000;320.000; 0.7360
 6041680; 673.600;   1.600;  1.600; 0.1120
 6115466; 720.940;   0.660;  0.630; 0.0989
 6139591;1310.000;  43.000; 33.000; 0.5800
 6141372;2622.000; 610.000;540.000; 0.7910
 6206125; 172.850;   0.270;  0.270; 0.4210
 6222529; 172.710;   0.400;  0.390; 0.1850
 6229130; 612.300;   3.700;  3.700; 0.2480
 6229502;1321.000;  17.000; 12.000; 0.0870
 6230921;3212.000; 390.000;550.000; 0.4180
 6231538;3875.000;1200.000;880.000; 0.7370
 6233899;1761.000; 220.000;250.000; 0.2600
 6280952;1045.300;   2.600;  2.500; 0.1500
 6287172;2044.000;  56.000; 52.000; 0.9107
 6290411;1015.100;   5.800;  5.600; 0.1610
 6302589;1032.200;   1.800;  1.900; 0.0018
 6314475; 408.200;   1.200;  1.200; 0.3060
 6367159; 281.800;   1.100;  1.000; 0.3000
 6451876; 937.600;   5.400;  5.500; 0.0540
 6467639;  21.357;   0.013;  0.013; 0.2700
 6470973;1804.000; 110.000;110.000; 0.6450
 6522144;1016.900;   8.300;  7.500; 0.0800
 6586020; 311.000;  41.000; 33.000; 0.1390
 6586333; 410.100;   3.600;  3.600; 0.1830
 6604303;2364.000; 180.000;300.000; 0.3670
 6629106; 402.310;   0.800;  0.790; 0.2960
 6633452;1228.000;  34.000; 26.000; 0.2850
 6668729;1164.000;   7.300;  6.800; 0.3300
 6671321; 674.300;   1.000;  1.000; 0.1870
 6678614; 904.000;  21.000; 18.000; 0.0760
 6756386; 134.410;   0.970;  0.960; 0.4100
 6762992; 692.600;   2.100;  2.100; 0.0510
 6854623;1067.000;  29.000; 22.000; 0.2090
 6861400;2382.000;  72.000; 79.000; 0.3850
 6862920;  61.494;   0.050;  0.048; 0.8200
 6865077; 446.980;   0.210;  0.200; 0.2925
 6877609;  52.654;   0.016;  0.016; 0.3250
 6922995;1627.000; 170.000;110.000; 0.3190
 6935101; 964.500;   9.600;  9.100; 0.2980
 6939291; 956.930;   0.590;  0.620; 0.0979
 7051690;1104.200;   4.900;  4.700; 0.2030
 7060333;1012.800;   3.800;  3.600; 0.3550
 7124680; 108.270;   0.150;  0.140; 0.5100
 7173839; 357.700;   1.600;  1.500; 0.0480
 7219502; 868.200;   9.700;  9.200; 0.6810
 7271892; 194.910;   0.740;  0.740; 0.0730
 7289158; 562.100;   4.400;  4.100; 0.2110
 7368960;1030.400;   5.300;  5.100; 0.1080
 7456441;  97.780;   0.090;  0.090; 0.2090
 7467518; 615.700;   1.000;  1.100; 0.2960
 7467539;1397.000;  30.000; 25.000; 0.2530
 7502559; 645.200;   4.900;  4.800; 0.0600
 7549852;  70.767;   0.075;  0.078; 0.0870
 7551993; 338.460;   0.250;  0.270; 0.6230
 7583208; 235.830;   0.930;  0.910; 0.1480
 7618364;3417.000; 130.000;230.000; 0.4370
 7668791;2899.000; 270.000;220.000; 0.5200
 7703305; 177.350;   0.660;  0.710; 0.3600
 7773133; 566.000;   1.500;  1.400; 0.3650
 7819024; 215.910;   0.860;  0.830; 0.0790
 7841434;  82.082;   0.093;  0.096; 0.2940
 7848288; 599.460;   0.780;  0.780; 0.4600
 7917485; 840.000;  22.000; 20.000; 0.1540
 7956461;  78.290;   0.120;  0.120; 0.0960
 7975162; 774.100;   8.200;  8.300; 0.3390
 7977996;1506.000;  46.000; 52.000; 0.1700
 8004558; 259.360;   0.210;  0.210; 0.0180
 8018827; 210.350;   0.240;  0.240; 0.1380
 8022144;1478.000;  22.000; 16.000; 0.5110
 8029546; 507.000;   1.800;  1.800; 0.0250
 8043436;1531.000; 710.000;380.000; 0.3300
 8045121; 926.700;   2.500;  2.500; 0.3556
 8086490;1543.000; 200.000;110.000; 0.1500
 8098120; 784.600;   4.500;  4.500; 0.0290
 8106371;1082.400;   9.200;  8.600; 0.4170
 8120184; 552.200;   1.500;  1.400; 0.1280
 8121586;1124.900;  10.000;  9.000; 0.0760
 8122232;1362.000; 110.000; 41.000; 0.6190
 8196840;1846.000;  63.000; 45.000; 0.6020
 8197355; 850.900;   1.700;  1.700; 0.8930
 8197653; 420.900;   1.800;  1.800; 0.4610
 8235853; 554.000;   1.900;  1.900; 0.8700
 8256621;1055.700;   4.100;  4.100; 0.4840
 8264492; 252.090;   0.170;  0.170; 0.6910
 8264588; 184.820;   0.390;  0.390; 0.3960
 8264588;1012.000;  13.000; 12.000; 0.2410
 8292150; 587.200;   1.100;  1.100; 0.2460
 8299332; 794.100;   4.200;  4.200; 0.1250
 8308688; 898.700;   3.000;  2.900; 0.1280
 8311110; 156.310;   0.130;  0.130; 0.2300
 8314525;2597.000;  60.000;110.000; 0.4170
 8329014; 356.860;   0.530;  0.560; 0.2220
 8329629;1096.300;   4.300;  4.600; 0.6240
 8330102;3685.000;  75.000; 55.000; 0.7212
 8346686; 785.900;   1.600;  1.600; 0.0087
 8352420;1426.000;  12.000; 12.000; 0.1450
 8396062; 164.060;   0.470;  0.470; 0.6300
 8459354;  53.559;   0.020;  0.022; 0.9809
 8460126; 293.400;   1.400;  1.300; 0.9260
 8491816;1505.000;  34.000; 24.000; 0.9010
 8500899;1079.200;   6.900;  6.200; 0.0820
 8516686; 171.700;   0.150;  0.150; 0.3700
 8552907; 486.800;   1.700;  1.600; 0.3270
 8560996;1743.000; 120.000;120.000; 0.3130
 8563964;1188.300;  12.000;  9.700; 0.1850
 8565229;  32.630;   0.022;  0.022; 0.1630
 8583770;1631.000;  66.000; 47.000; 0.3140
 8630254; 869.000;  13.000; 13.000; 0.6500
 8653100; 936.200;   5.400;  5.100; 0.1980
 8682555; 497.100;   1.800;  1.800; 0.4300
 8752359;2851.000; 420.000;430.000; 0.2830
 8771498; 335.060;   0.970;  0.970; 0.5760
 8772391; 386.700;   2.200;  2.100; 0.8400
 8826718; 512.110;   0.660;  0.660; 0.8020
 8914322;1680.000;  56.000; 62.000; 0.4080
 8933391; 212.800;   0.500;  0.490; 0.2220
 8940640;  39.027;   0.067;  0.065; 0.3500
 8956850;1323.100;   8.600;  8.500; 0.2420
 8964755; 262.090;   0.480;  0.460; 0.1170
 8975515;1905.000; 250.000;360.000; 0.4650
 9020199;  31.287;   0.020;  0.021; 0.3500
 9054553; 286.700;   1.600;  1.500; 0.8200
 9092897;1231.000;  13.000; 14.000; 0.3826
 9094694;1352.000;  24.000; 23.000; 0.0740
 9108615;2644.000;  88.000; 61.000; 0.9470
 9172627; 799.000;  15.000; 15.000; 0.6100
 9201644;  47.373;   0.047;  0.048; 0.2700
 9207344; 737.900;   1.100;  1.100; 0.1730
 9210037; 450.900;   3.100;  3.200; 0.0950
 9265050;1048.700;   3.100;  3.100; 0.2150
 9331207; 126.900;   0.150;  0.140; 0.0360
 9367382; 155.300;   0.210;  0.210; 0.5560
 9450392;2377.000; 250.000;180.000; 0.0970
 9466030;1154.000;   8.500;  8.100; 0.1930
 9473000; 769.960;   0.890;  0.870; 0.4901
 9526946; 940.700;   2.600;  2.600; 0.1800
 9550886;1614.000;  26.000; 25.000; 0.8290
 9578461; 715.400;   2.900;  2.900; 0.0290
 9594022; 412.940;   0.400;  0.410; 0.4240
 9636283; 918.200;   6.100;  5.600; 0.1930
 9649801;1161.300;   6.200;  5.900; 0.2610
 9651065; 272.400;   0.300;  0.300; 0.4670
 9655422; 189.430;   0.810;  0.800; 0.2700
 9655501; 817.500;   6.300;  6.200; 0.4820
 9655514; 324.180;   0.770;  0.740; 0.9450
 9655909;2911.000; 240.000;240.000; 0.6970
 9666465;2025.000; 170.000;110.000; 0.6130
 9693282;1887.000; 450.000;280.000; 0.4310
 9699950; 185.180;   0.340;  0.350; 0.0340
 9722737; 444.090;   0.470;  0.480; 0.1710
 9774314; 604.380;   0.960;  0.960; 0.0122
 9791112;1532.000; 110.000; 76.000; 0.4800
 9812351; 167.800;   0.300;  0.300; 0.8830
 9813078;1316.000;  47.000; 40.000; 0.7820
 9823602; 668.200;   4.300;  4.800; 0.8710
 9823652;1301.900;  11.000;  9.900; 0.1950
 9837267;  61.580;   0.420;  0.390; 0.4800
 9837659;1843.000; 110.000;160.000; 0.1940
 9844791; 208.470;   0.650;  0.620; 0.1080
 9850393; 298.930;   0.610;  0.630; 0.4210
 9874181; 569.000;   1.700;  1.600; 0.0210
 9895857; 224.060;   0.270;  0.280; 0.0540
 9897089;1584.000; 310.000;100.000; 0.4740
 9936518; 279.800;   1.500;  1.400; 0.0740
 9953617;1127.000;  14.000; 13.000; 0.0830
 9963609; 898.800;   4.900;  4.800; 0.0270

